Compund ID	Affinity
58337908	-8.393
137244900	-8.299
43167671	-8.211
65529981	-8.165
68653568	-8.156
114169636	-8.078
73885319	-8.052
112727037	-8.048
18986587	-8.029
141455651	-7.994
3031415	-7.973
71368267	-7.966
67324828	-7.953
43598821	-7.925
43599315	-7.917
172272034	-7.916
21521575	-7.873
30756033	-7.873
139729466	-7.869
130249255	-7.86
80347887	-7.848
140330855	-7.846
130219421	-7.839
142116037	-7.821
3031427	-7.81
3031429	-7.802
55037128	-7.8
62160972	-7.8
129673238	-7.791
62072664	-7.786
144395811	-7.772
168788211	-7.772
144395622	-7.759
62072944	-7.741
62074657	-7.732
252926	-7.724
79040504	-7.723
144625229	-7.718
17860847	-7.714
3039699	-7.709
91205842	-7.708
114272094	-7.707
31076517	-7.701
68653608	-7.701
21221050	-7.699
114384359	-7.692
54943559	-7.674
58772630	-7.658
112722808	-7.648
15073511	-7.644
71213782	-7.643
79033942	-7.635
23119574	-7.63
140330856	-7.629
113823510	-7.612
79099278	-7.605
54341013	-7.584
68522357	-7.568
66887686	-7.564
62073111	-7.547
162719178	-7.531
55041948	-7.531
20339465	-7.523
62155126	-7.521
154234780	-7.512
23574357	-7.506
22028988	-7.5
113461543	-7.484
20215035	-7.475
91664313	-7.468
141839417	-7.46
602287	-7.454
20321104	-7.453
22271454	-7.453
54238195	-7.449
171037195	-7.445
261592	-7.43
83187	-7.428
20517052	-7.419
115486570	-7.418
17893016	-7.413
68459150	-7.408
2405731	-7.4
36834371	-7.389
170568765	-7.384
53334734	-7.378
91311755	-7.377
87555284	-7.376
91735308	-7.371
43317132	-7.366
69479878	-7.329
141113237	-7.326
114169848	-7.306
89050714	-7.304
62073107	-7.303
53833611	-7.292
17856504	-7.291
58337917	-7.291
130478104	-7.289
21330884	-7.286
142987271	-7.282
62160659	-7.276
21472602	-7.273
140671083	-7.272
62160515	-7.271
113966362	-7.264
55037403	-7.261
29048197	-7.258
113328065	-7.251
901914	-7.251
91381381	-7.249
58772603	-7.246
20321194	-7.236
171638145	-7.218
20321081	-7.211
144495629	-7.209
353133	-7.204
62161013	-7.202
80353123	-7.197
115486576	-7.195
156720967	-7.19
136163728	-7.189
62155230	-7.177
11458677	-7.165
130967266	-7.164
118035336	-7.16
139494745	-7.157
62161643	-7.155
115522092	-7.154
54857354	-7.153
135434856	-7.147
237828	-7.145
3031419	-7.145
79040050	-7.143
250375	-7.135
55036893	-7.134
105943045	-7.129
106295566	-7.128
67119618	-7.121
113328061	-7.12
171037196	-7.118
107494155	-7.115
140084432	-7.112
43599608	-7.112
